screen_name,cap_en,cap_unv
osteofrio,0.0060434470460022415,0.005778300973814037
Suma4720,0.003134129284123964,0.010164988287386762
ToBeSafeNSound,0.08590409243653727,0.08385114734671234
heartofmel,0.0018284205282117316,0.004725361816828223
kakkoreborn,0.005363701003450149,0.005213309669283597
GhostOfQC44,0.0014828129117616376,0.003116817556886547
sweeth2oPro,0.028225552221050176,0.05430460982015838
SidPhoenix2211,0.003134129284123964,0.01645230483113907
jamesscottab,0.0038317559975942547,0.011448498001345467
jeandenishaas,0.0018284205282117316,0.005778300973814037
TTOInterPro,0.31925820414416145,0.13065598435976788
PamFarrar3,0.028225552221050176,0.038677030425236264
english_j,0.0013611897321404152,0.0033536770167744536
austinbarronttf,0.15990913252190533,0.4458600035841122
Touch_My_Tweets,0.14157391067567082,0.18030310025096605
yourbudairbud,0.0016347149115980926,0.002571043998532308
Courtneyloves_U,0.0038317559975942547,0.010164988287386762
glenpalm2005,0.021603216955146855,0.08385114734671234
BrianGPowell,0.07583235670880943,0.09360841931572118
ObozoLies,0.009922300094567935,0.01645230483113907
PKuipersMunneke,0.001725457650971877,0.003116817556886547
cristobal2011ok,0.001725457650971877,0.0021984408773070953
kimseoin0324,0.06706338835674493,0.05430460982015838
tracikowal,0.0014187924969112314,0.006431292840898396
fernandonunez70,0.001141902134591572,0.0016912294273666159
PaUjlqCNtaLUpca,0.9727339711371419,0.9479997437595081
nanolucifer,0.0024124820419756166,0.006431292840898396
kristinaharuki1,0.958167114593664,0.9517077832802119
dimitrilascaris,0.0060434470460022415,0.003940623559956331
NicoleSpector,0.0014828129117616376,0.003116817556886547
brendaperrott2,0.05942480200270631,0.038677030425236264
cajunmw,0.0022344951904619756,0.005213309669283597
kittywaymo,0.011259346570646776,0.01645230483113907
VincentPirez,0.08590409243653727,0.010164988287386762
dictator_66,0.0038317559975942547,0.0027296301902785666
MAGAMaggieMay,0.11046376827194711,0.08385114734671234
sueludad,0.0020801266669107617,0.007183846426565749
VandyImport,0.0012616932230026553,0.0021984408773070953
ReyDaMusician,0.001725457650971877,0.0024313661894161103
HPrynne,0.0060434470460022415,0.010164988287386762
giro_jedi,0.04142512584947667,0.01859922727344653
usmc_army,0.08590409243653727,0.14577620294303828
gene_reimer,0.012788431177246198,0.026940288992638697
frfun0101,0.008750694009244317,0.009037049400998034
elenasmiith_,0.004268306222830912,0.005213309669283597
defimyfrend,0.032183220269696264,0.05430460982015838
etlopezjr,0.06706338835674493,0.11693596663244112
xthtg1962,0.9446742630045359,0.9052279070132568
LauraN75,0.18036203754175442,0.04342086940555935
kelleysher,0.004268306222830912,0.03435849422907052
bobswife64,0.0034565375041747688,0.003940623559956331
KimPiper1,0.0038317559975942547,0.010164988287386762
Tiki4077,0.009922300094567935,0.026940288992638697
juliepixels,0.002856940094612955,0.0029102973297387607
AngelVargas827,0.001141902134591572,0.0016427961109141277
trumpinterprtr,0.06706338835674493,0.10460347933351005
JD_Skinner58,0.7869124820832595,0.6366637042669882
LindaForAmerica,0.7869124820832595,0.5856427244085384
MsDixieDiva8253,0.005363701003450149,0.010164988287386762
sandralhanlon,0.02470203924309943,0.05430460982015838
TanjaMcConnor,0.03657805288858329,0.0043042404804791
indivisible_usa,0.0018284205282117316,0.005213309669283597
GLENNBOB1957,0.07583235670880943,0.06055916271173367
fansLPfamily,0.002856940094612955,0.003626193494014071
danieljhicks,0.0012183789109573519,0.003116817556886547
Kristine_2016,0.00682617488477388,0.004725361816828223
macgaw1987,0.0018284205282117316,0.008048111281043234
CmdrProton,0.05272348371475359,0.06747906081432216
pilarwish,0.0060434470460022415,0.026940288992638697
1WiserWoman,0.08590409243653727,0.22121616027906205
kevinriggle,0.0014828129117616376,0.003116817556886547
NiceUSCoins,0.11046376827194711,0.35515431108103784
massaro_sherry,0.0060434470460022415,0.01859922727344653
SpkCoasters2Me,0.15990913252190533,0.10460347933351005
WeatheredHype,0.011259346570646776,0.05430460982015838
Kiyathoo,0.0026183131920431966,0.003626193494014071
dianejblairatt1,0.005363701003450149,0.008048111281043234
FedUpSouthPaw,0.0060434470460022415,0.005213309669283597
creationsbylj,0.0016347149115980926,0.0023079208238384373
ConsciousBlack3,0.6662767818190388,0.7312451284333126
Annab3ll3t94,0.0024124820419756166,0.002571043998532308
MilanowskiCarol,0.004268306222830912,0.009037049400998034
CuriousObserve8,0.032183220269696264,0.11693596663244112
fiftyfiveAndUp3,0.05272348371475359,0.11693596663244112
MarkitoKrod,0.005363701003450149,0.026940288992638697
MollyAn96464648,0.0038317559975942547,0.021041094138717433
lilbigmouth1776,0.0014828129117616376,0.008048111281043234
minitornado86,0.14157391067567082,0.13065598435976788
swilliamssc1,0.005363701003450149,0.004725361816828223
MandeOdur,0.6662767818190388,0.4458600035841122
blueyedwatcher,0.0060434470460022415,0.011448498001345467
WinnaWinna2016,0.05272348371475359,0.08385114734671234
ligirl23,0.046773782504080826,0.005778300973814037
daveunger3,0.06706338835674493,0.11693596663244112
allkatzusa,0.003134129284123964,0.011448498001345467
dragon8me2,0.0014828129117616376,0.006431292840898396
judyofblaze,0.12514574764971045,0.1998825988113924
ValSenJ,0.0038317559975942547,0.008048111281043234
mimijax_mjacks,0.5906777151076118,0.3254134937439308
iLuff5thHarmony,0.008750694009244317,0.007183846426565749
Xantl,0.004775575529426348,0.010164988287386762
elmeranthony,0.004775575529426348,0.003116817556886547
flood_rena,0.016566752245969804,0.012907437350993261
MichaelMcelmury,0.021603216955146855,0.038677030425236264
rockie_springer,0.06706338835674493,0.09360841931572118
uskiwiblend,0.0026183131920431966,0.005213309669283597
dahbbie,0.0060434470460022415,0.004725361816828223
SnowHydro,0.0015543510151536995,0.01645230483113907
Mich20181,0.016566752245969804,0.07519311407072778
Miss_Placed_,0.0014828129117616376,0.006431292840898396
ashleyb8255,0.001725457650971877,0.003940623559956331
susan_laviola,0.0060434470460022415,0.023811568542435598
winterthur,0.04142512584947667,0.07519311407072778
xRdsTV,0.0018284205282117316,0.0043042404804791
BCWildfireToday,0.08590409243653727,0.11693596663244112
heatherrph,0.0013611897321404152,0.0033536770167744536
robynkndy,0.0022344951904619756,0.003940623559956331
HarishK81373290,0.004775575529426348,0.005778300973814037
CertainlyMAGA,0.05272348371475359,0.06747906081432216
PiusGabriel1,0.005363701003450149,0.012907437350993261
quilt_culture,0.004775575529426348,0.009037049400998034
suzidh,0.0038317559975942547,0.021041094138717433
TheRealKTDaxon,0.009922300094567935,0.06055916271173367
NairobiBestsell,0.7161435017477831,0.611464313617347
BbyBirdinLove,0.0014187924969112314,0.0027296301902785666
mjacob9203,0.0060434470460022415,0.004725361816828223
BorjaCAP,0.09741389119048932,0.16230758351843008
Humbaby1,0.018904416758651326,0.011448498001345467
zQplTqEP9BG2cgU,0.9669423583051047,0.8731487918871739
haileybranson,0.0016347149115980926,0.0033536770167744536
LorraineMingri1,0.046773782504080826,0.07519311407072778
alaska_holly,0.00682617488477388,0.0043042404804791
jpvoorhees56,0.0026183131920431966,0.005778300973814037
jeje42808,0.0038317559975942547,0.008048111281043234
